Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Att_R,Yds_R,Avg_R,TD_R,Year
Tim Tebow,Florida,SEC,13,234,350,66.9,3286,9.4,10.4,32,6,172.5,210,895,4.3,23,2007
Paul Smith,Tulsa,CUSA,14,327,544,60.1,5065,9.3,9.5,47,19,159.8,105,119,1.1,13,2007
Sam Bradford,Oklahoma,Big 12,14,237,341,69.5,3121,9.2,10.2,36,8,176.5,31,7,0.2,0,2007
Mike Teel,Rutgers,Big East,13,203,349,58.2,3147,9.0,8.5,20,13,145.4,10,-49,-4.9,0,2007
Colin Kaepernick,Nevada,WAC,11,133,247,53.8,2175,8.8,9.8,19,3,150.8,105,593,5.6,6,2007
Colt Brennan,Hawaii,WAC,12,359,510,70.4,4343,8.5,8.5,38,17,159.8,82,27,0.3,8,2007
Brian Brohm,Louisville,Big East,12,308,473,65.1,4024,8.5,8.6,30,12,152.4,57,-46,-0.8,3,2007
Zac Robinson,Oklahoma State,Big 12,13,201,333,60.4,2824,8.5,8.6,23,9,149.0,140,847,6.1,9,2007
Caleb Hanie,Colorado State,MWC,12,188,293,64.2,2455,8.4,7.3,18,15,144.6,92,6,0.1,2,2007
Dennis Dixon,Oregon,Pac-10,10,172,254,67.7,2136,8.4,9.3,20,4,161.2,105,583,5.6,9,2007
Case Keenum,Houston,CUSA,13,187,273,68.5,2259,8.3,7.7,14,10,147.6,103,412,4.0,9,2007
Ben Mauk,Cincinnati,Big East,12,235,386,60.9,3121,8.1,8.6,31,9,150.6,99,377,3.8,3,2007
Chris Turner,Maryland,ACC,11,153,241,63.5,1958,8.1,7.4,7,7,135.5,44,-26,-0.6,0,2007
Graham Harrell,Texas Tech,Big 12,13,512,713,71.8,5705,8.0,8.5,48,14,157.3,38,-91,-2.4,4,2007
Rudy Carpenter,Arizona State,Pac-10,13,246,398,61.8,3202,8.0,8.2,25,10,145.1,93,-205,-2.2,0,2007
Todd Boeckman,Ohio State,Big Ten,13,191,299,63.9,2379,8.0,7.5,25,14,148.9,56,63,1.1,0,2007
Pat White,West Virginia,Big East,13,144,216,66.7,1724,8.0,8.4,14,4,151.4,197,1335,6.8,14,2007
Taylor Tharp,Boise State,WAC,13,289,423,68.3,3340,7.9,8.1,30,11,152.9,62,68,1.1,1,2007
Bernard Morris,Marshall,CUSA,12,253,398,63.6,3149,7.9,7.6,17,10,139.1,130,488,3.8,4,2007
Tom Brandstater,Fresno State,WAC,13,211,337,62.6,2654,7.9,8.1,15,5,140.5,48,118,2.5,3,2007
Max Hall,Brigham Young,MWC,13,298,496,60.1,3848,7.8,7.7,26,12,137.7,52,14,0.3,1,2007
Todd Reesing,Kansas,Big 12,13,276,446,61.9,3486,7.8,8.6,33,7,148.8,92,197,2.1,3,2007
Colt McCoy,Texas,Big 12,13,276,424,65.1,3303,7.8,6.9,22,18,139.2,114,492,4.3,4,2007
Tyler Donovan,Wisconsin,Big Ten,13,193,333,58.0,2607,7.8,7.4,17,11,134.0,112,277,2.5,5,2007
Rusty Smith,Florida Atlantic,Sun Belt,13,281,479,58.7,3688,7.7,8.2,32,9,141.6,39,-116,-3.0,2,2007
Nate Davis,Ball State,MAC,13,270,478,56.5,3667,7.7,8.4,30,6,139.1,78,235,3.0,5,2007
Chase Daniel,Missouri,Big 12,14,384,563,68.2,4306,7.6,7.9,33,11,147.9,109,253,2.3,4,2007
Alex Brink,Washington State,Pac-10,12,305,503,60.6,3818,7.6,7.3,26,15,135.5,63,34,0.5,0,2007
Trevor Vittatoe,UTEP,CUSA,12,224,407,55.0,3101,7.6,8.1,25,7,135.9,42,-132,-3.1,0,2007
Adam Tafralis,San Jose State,WAC,12,251,400,62.8,3022,7.6,7.2,18,11,135.6,76,181,2.4,2,2007
