Player,School,Conf,G,Rec,Yds,Avg,TD,Att_R,Yds_R,Avg_R,TD_R,Plays_S,Yds_S,Avg_S,TD_S,Year
Brennan Marion,Tulsa,CUSA,14,39,1244,31.9,11,2,-8,-4.0,0,41,1236,30.1,11,2007
Marko Mitchell,Nevada,WAC,13,53,1129,21.3,8,1,47,47.0,0,54,1176,21.8,8,2007
Eron Riley,Duke,ACC,12,40,830,20.8,9,4,2,0.5,0,44,832,18.9,9,2007
Darnell Jenkins,Miami (FL),ACC,12,31,619,20.0,2,11,53,4.8,0,42,672,16.0,2,2007
Kenny Britt,Rutgers,Big East,13,62,1232,19.9,8,,,,,62,1232,19.9,8,2007
Josh Smith,Colorado,Big 12,11,25,491,19.6,0,13,44,3.4,0,38,535,14.1,0,2007
Marcel Reece,Washington,Pac-10,13,39,761,19.5,8,3,19,6.3,0,42,780,18.6,8,2007
Damon Morton,Colorado State,MWC,12,40,774,19.4,6,10,143,14.3,0,50,917,18.3,6,2007
Chaz Schilens,San Diego State,MWC,8,35,679,19.4,3,,,,,35,679,19.4,3,2007
Mike McCoy,Nevada,WAC,13,32,617,19.3,4,1,-2,-2.0,0,33,615,18.6,4,2007
Brandon Tate,North Carolina,ACC,12,25,479,19.2,5,12,131,10.9,1,37,610,16.5,6,2007
Marcus Henry,Kansas,Big 12,13,54,1014,18.8,10,1,23,23.0,0,55,1037,18.9,10,2007
Mike Wallace,Ole Miss,SEC,12,38,716,18.8,6,,,,,38,716,18.8,6,2007
Rob Gronkowski,Arizona,Pac-10,12,28,525,18.8,6,,,,,28,525,18.8,6,2007
Taj Smith,Syracuse,Big East,12,44,822,18.7,5,5,16,3.2,0,49,838,17.1,5,2007
Matt Simon,Northern Illinois,MAC,12,52,969,18.6,5,2,17,8.5,0,54,986,18.3,5,2007
Kyle Sammons,Nevada,WAC,13,37,668,18.1,4,,,,,37,668,18.1,4,2007
Kerry Franks,Texas A&M,Big 12,13,27,488,18.1,1,1,1,1.0,0,28,489,17.5,1,2007
Phillip Livas,Louisiana Tech,WAC,12,28,504,18.0,3,10,72,7.2,0,38,576,15.2,3,2007
Luke Swan,Wisconsin,Big Ten,6,25,451,18.0,2,,,,,25,451,18.0,2,2007
Joe West,UTEP,CUSA,12,41,734,17.9,6,,,,,41,734,17.9,6,2007
James Johnson,Georgia Tech,ACC,12,25,447,17.9,0,,,,,25,447,17.9,0,2007
Greg Carr,Florida State,ACC,12,45,795,17.7,4,1,2,2.0,0,46,797,17.3,4,2007
Demetrius Byrd,LSU,SEC,14,35,621,17.7,7,,,,,35,621,17.7,7,2007
Kamar Aiken,UCF,CUSA,14,33,584,17.7,5,1,-6,-6.0,0,34,578,17.0,5,2007
Emmanuel Spann,Marshall,CUSA,12,25,442,17.7,2,6,-4,-0.7,0,31,438,14.1,2,2007
Brandon Gibson,Washington State,Pac-10,11,67,1180,17.6,9,,,,,67,1180,17.6,9,2007
Steve Johnson,Kentucky,SEC,13,60,1041,17.4,13,,,,,60,1041,17.4,13,2007
Maurice Jones,Memphis,CUSA,13,37,639,17.3,2,3,8,2.7,0,40,647,16.2,2,2007
Diivory Edgecomb,Florida Atlantic,Sun Belt,12,24,416,17.3,4,56,190,3.4,4,80,606,7.6,8,2007
Chris Givens,Miami (OH),MAC,13,25,430,17.2,2,,,,,25,430,17.2,2,2007
Brian Robiskie,Ohio State,Big Ten,13,55,935,17.0,11,,,,,55,935,17.0,11,2007
Tiquan Underwood,Rutgers,Big East,13,65,1100,16.9,7,,,,,65,1100,16.9,7,2007
Cortez Gent,Florida Atlantic,Sun Belt,12,64,1082,16.9,9,,,,,64,1082,16.9,9,2007
Austin Collie,Brigham Young,MWC,13,56,946,16.9,7,1,10,10.0,0,57,956,16.8,7,2007
Seyi Ajirotutu,Fresno State,WAC,11,29,491,16.9,0,,,,,29,491,16.9,0,2007
Brett Swain,San Diego State,MWC,12,58,973,16.8,5,1,3,3.0,0,59,976,16.5,5,2007
Malcolm Kelly,Oklahoma,Big 12,14,49,821,16.8,9,,,,,49,821,16.8,9,2007
Jeremy Williams,Tulane,CUSA,12,46,773,16.8,5,8,-3,-0.4,0,54,770,14.3,5,2007
Chris Bonner,Florida Atlantic,Sun Belt,13,25,420,16.8,3,5,37,7.4,0,30,457,15.2,3,2007
Michael Jones,Arizona State,Pac-10,13,46,769,16.7,10,,,,,46,769,16.7,10,2007
Richard Sherman,Stanford,Pac-10,11,39,651,16.7,4,,,,,39,651,16.7,4,2007
Derrick Smith,Louisiana,Sun Belt,8,35,583,16.7,3,1,6,6.0,0,36,589,16.4,3,2007
Mario Manningham,Michigan,Big Ten,12,72,1174,16.3,12,19,119,6.3,0,91,1293,14.2,12,2007
Harry Douglas,Louisville,Big East,10,71,1159,16.3,7,5,11,2.2,0,76,1170,15.4,7,2007
Donnie Avery,Houston,CUSA,13,91,1456,16.0,7,,,,,91,1456,16.0,7,2007
Stephen Williams,Toledo,MAC,12,73,1169,16.0,7,,,,,73,1169,16.0,7,2007
Kellen Davis,Michigan State,Big Ten,13,32,513,16.0,6,6,43,7.2,0,38,556,14.6,6,2007
Brad Kanuch,Connecticut,Big East,13,27,433,16.0,1,1,2,2.0,0,28,435,15.5,1,2007
Devin Thomas,Michigan State,Big Ten,13,79,1260,15.9,8,27,177,6.6,0,106,1437,13.6,8,2007
Brandon Breazell,UCLA,Pac-10,13,51,810,15.9,4,11,47,4.3,0,62,857,13.8,4,2007
Greg Smith,Georgia Tech,ACC,12,37,588,15.9,2,2,24,12.0,1,39,612,15.7,3,2007
Demaryius Thomas,Georgia Tech,ACC,13,35,558,15.9,4,1,0,0.0,0,36,558,15.5,4,2007
Sean Bailey,Georgia,SEC,13,39,615,15.8,5,2,3,1.5,0,41,618,15.1,5,2007
Kyle Jefferson,Wisconsin,Big Ten,13,26,412,15.8,2,2,11,5.5,0,28,423,15.1,2,2007
Isaiah Williams,Maryland,ACC,13,25,395,15.8,1,,,,,25,395,15.8,1,2007
Anthony Russo,Washington,Pac-10,13,49,766,15.6,5,7,28,4.0,0,56,794,14.2,5,2007
Bruce Francis,Temple,MAC,10,47,731,15.6,6,1,-10,-10.0,0,48,721,15.0,6,2007
Trae Johnson,Tulsa,CUSA,14,70,1088,15.5,13,,,,,70,1088,15.5,13,2007
David Richmond,San Jose State,WAC,12,55,852,15.5,3,,,,,55,852,15.5,3,2007
Justin Harper,Virginia Tech,ACC,14,41,635,15.5,5,,,,,41,635,15.5,5,2007
Jamayel Smith,Mississippi State,SEC,13,33,510,15.5,3,2,32,16.0,0,35,542,15.5,3,2007
Darrius Heyward-Bey,Maryland,ACC,13,51,786,15.4,3,5,107,21.4,1,56,893,15.9,4,2007
Brandon Pettigrew,Oklahoma State,Big 12,13,35,540,15.4,4,,,,,35,540,15.4,4,2007
Jordan Shipley,Texas,Big 12,13,27,417,15.4,5,4,20,5.0,0,31,437,14.1,5,2007
Jaison Williams,Oregon,Pac-10,13,55,844,15.3,8,,,,,55,844,15.3,8,2007
Mohamed Massaquoi,Georgia,SEC,13,32,491,15.3,4,1,12,12.0,0,33,503,15.2,4,2007
Joe Webb,UAB,CUSA,11,30,459,15.3,3,67,288,4.3,1,97,747,7.7,4,2007
Travis Dekker,Air Force,MWC,12,25,382,15.3,2,,,,,25,382,15.3,2,2007
Patrick Carter,Louisville,Big East,11,26,396,15.2,5,,,,,26,396,15.2,5,2007
Fred Rouse,UTEP,CUSA,10,25,379,15.2,2,0,0,,0,25,379,15.2,2,2007
Dustin Woods,Miami (OH),MAC,13,40,603,15.1,1,1,5,5.0,0,41,608,14.8,1,2007
Adarius Bowman,Oklahoma State,Big 12,11,67,1006,15.0,8,3,9,3.0,0,70,1015,14.5,8,2007
D.J. Hall,Alabama,SEC,13,67,1005,15.0,6,2,7,3.5,0,69,1012,14.7,6,2007
Todd Blythe,Iowa State,Big 12,12,52,779,15.0,5,,,,,52,779,15.0,5,2007
Carlos Singleton,Memphis,CUSA,13,51,767,15.0,11,,,,,51,767,15.0,11,2007
Jesse Meyer,Tulsa,CUSA,14,39,585,15.0,2,,,,,39,585,15.0,2,2007
Eddie Royal,Virginia Tech,ACC,13,33,496,15.0,4,8,112,14.0,0,41,608,14.8,4,2007
Zack Sledge,SMU,CUSA,12,49,729,14.9,10,,,,,49,729,14.9,10,2007
Harvey Unga,Brigham Young,MWC,13,44,655,14.9,4,244,1227,5.0,13,288,1882,6.5,17,2007
Mardy Gilyard,Cincinnati,Big East,13,36,536,14.9,3,,,,,36,536,14.9,3,2007
Marshwan Gilyard,Cincinnati,Big East,13,36,536,14.9,3,0,0,,0,36,536,14.9,3,2007
Cornelius Ingram,Florida,SEC,13,34,508,14.9,7,,,,,34,508,14.9,7,2007
Brian King,Tulane,CUSA,12,30,446,14.9,2,,,,,30,446,14.9,2,2007
Charles Clay,Tulsa,CUSA,14,69,1024,14.8,7,57,304,5.3,1,126,1328,10.5,8,2007
Louis Murphy,Florida,SEC,13,37,548,14.8,5,1,12,12.0,0,38,560,14.7,5,2007
Max Komar,Idaho,WAC,11,30,445,14.8,4,5,58,11.6,0,35,503,14.4,4,2007
Jeremy Trimble,Army,Ind,12,62,912,14.7,7,3,9,3.0,0,65,921,14.2,7,2007
Jamar Bryant,East Carolina,CUSA,13,48,704,14.7,6,,,,,48,704,14.7,6,2007
Robert Jordan,California,Pac-10,13,47,689,14.7,3,1,4,4.0,0,48,693,14.4,3,2007
Kim Thompson,Northwestern,Big Ten,12,46,678,14.7,3,,,,,46,678,14.7,3,2007
Darius Passmore,Marshall,CUSA,11,45,660,14.7,5,8,56,7.0,0,53,716,13.5,5,2007
Lagregory Sapp,Louisiana-Monroe,Sun Belt,12,33,486,14.7,3,1,5,5.0,0,34,491,14.4,3,2007
Michael Crabtree,Texas Tech,Big 12,13,134,1962,14.6,22,,,,,134,1962,14.6,22,2007
Donald Bowens,North Carolina State,ACC,12,41,598,14.6,3,,,,,41,598,14.6,3,2007
Johnny Walker,Colorado State,MWC,12,36,525,14.6,2,1,7,7.0,0,37,532,14.4,2,2007
Andrew Mooney,Ohio,MAC,12,34,498,14.6,9,0,0,,0,34,498,14.6,9,2007
Lee Smith,Idaho,WAC,12,25,365,14.6,1,1,5,5.0,0,26,370,14.2,1,2007
Rich Gunnell,Boston College,ACC,14,64,931,14.5,7,,,,,64,931,14.5,7,2007
Percy Harvin,Florida,SEC,11,59,858,14.5,4,83,764,9.2,6,142,1622,11.4,10,2007
William Franklin,Missouri,Big 12,14,49,709,14.5,4,,,,,49,709,14.5,4,2007
Marlon Moore,Fresno State,WAC,13,48,694,14.5,5,5,31,6.2,1,53,725,13.7,6,2007
Titus Young,Boise State,WAC,13,44,639,14.5,5,13,66,5.1,2,57,705,12.4,7,2007
Dez Bryant,Oklahoma State,Big 12,12,43,622,14.5,6,2,16,8.0,0,45,638,14.2,6,2007
Darrell Blackman,North Carolina State,ACC,12,41,593,14.5,1,3,12,4.0,0,44,605,13.8,1,2007
Branden Ledbetter,Western Michigan,MAC,12,38,550,14.5,6,,,,,38,550,14.5,6,2007
Carlton Mitchell,South Florida,Big East,13,37,537,14.5,4,4,17,4.3,0,41,554,13.5,4,2007
Manuel Johnson,Oklahoma,Big 12,14,31,448,14.5,4,,,,,31,448,14.5,4,2007
Duke Calhoun,Memphis,CUSA,12,62,890,14.4,5,,,,,62,890,14.4,5,2007
Torris Magee,Southern Mississippi,CUSA,13,44,632,14.4,3,6,84,14.0,0,50,716,14.3,3,2007
Nate Swift,Nebraska,Big 12,12,36,520,14.4,3,,,,,36,520,14.4,3,2007
Josh Allen,Troy,Sun Belt,12,32,462,14.4,1,,,,,32,462,14.4,1,2007
Brooks Foster,North Carolina,ACC,11,29,417,14.4,2,2,2,1.0,0,31,419,13.5,2,2007
Chido Nwokocha,Ohio,MAC,12,25,361,14.4,1,,,,,25,361,14.4,1,2007
Maurice Purify,Nebraska,Big 12,11,57,814,14.3,9,2,15,7.5,0,59,829,14.1,9,2007
Chris Johnson,East Carolina,CUSA,13,37,528,14.3,6,236,1423,6.0,17,273,1951,7.1,23,2007
Mario Urrutia,Louisville,Big East,10,35,501,14.3,3,,,,,35,501,14.3,3,2007
Armand Robinson,Miami (OH),MAC,13,33,471,14.3,3,,,,,33,471,14.3,3,2007
James Hardy,Indiana,Big Ten,13,79,1125,14.2,16,,,,,79,1125,14.2,16,2007
Darius Hill,Ball State,MAC,13,65,926,14.2,11,,,,,65,926,14.2,11,2007
Fred Davis,USC,Pac-10,13,62,881,14.2,8,,,,,62,881,14.2,8,2007
Brandon Robinson,Boston College,ACC,13,56,793,14.2,5,,,,,56,793,14.2,5,2007
Luke Roberts,Colorado State,MWC,12,30,426,14.2,3,,,,,30,426,14.2,3,2007
Kenneth Buckley,New Mexico State,WAC,11,29,413,14.2,5,1,4,4.0,0,30,417,13.9,5,2007
Chris Wright,Bowling Green State,MAC,12,26,370,14.2,3,,,,,26,370,14.2,3,2007
C.J. Hawthorne,Hawaii,WAC,13,61,859,14.1,6,,,,,61,859,14.1,6,2007
Anthony Brown,Oregon State,Pac-10,13,39,550,14.1,1,2,0,0.0,0,41,550,13.4,1,2007
Taylor Price,Ohio,MAC,12,33,464,14.1,4,6,23,3.8,0,39,487,12.5,4,2007
Dante Love,Ball State,MAC,13,100,1398,14.0,10,35,192,5.5,1,135,1590,11.8,11,2007
Mike Williams,Syracuse,Big East,12,60,837,14.0,10,,,,,60,837,14.0,10,2007
De'Cody Fagg,Florida State,ACC,13,54,758,14.0,5,,,,,54,758,14.0,5,2007
Lorne Sam,UTEP,CUSA,10,42,589,14.0,1,60,339,5.7,3,102,928,9.1,4,2007
Jermaine Gresham,Oklahoma,Big 12,14,37,518,14.0,11,,,,,37,518,14.0,11,2007
Thomas White,Baylor,Big 12,9,34,475,14.0,8,3,17,5.7,0,37,492,13.3,8,2007
Jared Cook,South Carolina,SEC,12,30,421,14.0,3,,,,,30,421,14.0,3,2007
Joe Cowan,UCLA,Pac-10,13,29,405,14.0,3,4,25,6.3,0,33,430,13.0,3,2007
Kevin Jurovich,San Jose State,WAC,12,85,1183,13.9,9,12,56,4.7,0,97,1239,12.8,9,2007
Marcus Barnett,Cincinnati,Big East,13,62,862,13.9,13,6,24,4.0,0,68,886,13.0,13,2007
Dennis Pitta,Brigham Young,MWC,13,59,813,13.8,5,,,,,59,813,13.8,5,2007
Chris Williams,New Mexico State,WAC,8,56,772,13.8,11,10,35,3.5,0,66,807,12.2,11,2007
Shay Hodge,Ole Miss,SEC,12,43,593,13.8,6,,,,,43,593,13.8,6,2007
Oderick Turner,Pitt,Big East,12,36,496,13.8,5,,,,,36,496,13.8,5,2007
Taron Henry,Middle Tennessee State,Sun Belt,12,31,427,13.8,5,,,,,31,427,13.8,5,2007
Mark Root,Air Force,MWC,13,28,385,13.8,2,,,,,28,385,13.8,2,2007
Lucas Taylor,Tennessee,SEC,13,73,1000,13.7,5,1,1,1.0,0,74,1001,13.5,5,2007
Jeff Moturi,UTEP,CUSA,12,65,891,13.7,13,1,9,9.0,0,66,900,13.6,13,2007
Rudy Burgess,Arizona State,Pac-10,12,34,467,13.7,3,6,42,7.0,0,40,509,12.7,3,2007
Shawn Nelson,Southern Mississippi,CUSA,13,33,451,13.7,5,,,,,33,451,13.7,5,2007
Jabari Arthur,Akron,MAC,12,86,1171,13.6,10,4,3,0.8,0,90,1174,13.0,10,2007
Travis Brown,New Mexico,MWC,13,76,1031,13.6,6,6,34,5.7,1,82,1065,13.0,7,2007
Eric Decker,Minnesota,Big Ten,12,67,909,13.6,9,3,22,7.3,0,70,931,13.3,9,2007
Chris McGaha,Arizona State,Pac-10,13,61,830,13.6,1,3,1,0.3,0,64,831,13.0,1,2007
Andre Caldwell,Florida,SEC,11,56,761,13.6,7,12,58,4.8,1,68,819,12.0,8,2007
Rodgeriqus Smith,Auburn,SEC,13,52,705,13.6,5,,,,,52,705,13.6,5,2007
Deon Butler,Penn State,Big Ten,13,47,633,13.5,4,1,-11,-11.0,0,48,622,13.0,4,2007
Tony Burks,Mississippi State,SEC,13,33,444,13.5,3,3,28,9.3,0,36,472,13.1,3,2007
D.J. Hernandez,Connecticut,Big East,13,30,404,13.5,2,3,22,7.3,0,33,426,12.9,2,2007
Sam Dibrell,North Texas,Sun Belt,10,28,377,13.5,2,,,,,28,377,13.5,2,2007
Steve Slaton,West Virginia,Big East,13,26,350,13.5,1,211,1051,5.0,17,237,1401,5.9,18,2007
Jarett Dillard,Rice,CUSA,12,79,1057,13.4,14,,,,,79,1057,13.4,14,2007
Juaquin Iglesias,Oklahoma,Big 12,14,68,907,13.3,5,8,87,10.9,1,76,994,13.1,6,2007
Brian Hartline,Ohio State,Big Ten,13,52,694,13.3,6,6,46,7.7,0,58,740,12.8,6,2007
Brad Taylor,Baylor,Big 12,11,35,465,13.3,2,,,,,35,465,13.3,2,2007
Scott Long,Louisville,Big East,12,27,358,13.3,0,,,,,27,358,13.3,0,2007
Eugene Jarvis,Kent State,MAC,12,23,306,13.3,3,279,1669,6.0,10,302,1975,6.5,13,2007
Shawn Lauzon,Marshall,CUSA,11,23,305,13.3,2,,,,,23,305,13.3,2,2007
Jordy Nelson,Kansas State,Big 12,12,122,1606,13.2,11,3,-7,-2.3,0,125,1599,12.8,11,2007
Jeremy Maclin,Missouri,Big 12,14,80,1055,13.2,9,51,375,7.4,4,131,1430,10.9,13,2007
Adrian Arrington,Michigan,Big Ten,13,67,882,13.2,8,,,,,67,882,13.2,8,2007
Curtis Hamilton,Western Kentucky,Ind,12,66,873,13.2,4,13,102,7.8,0,79,975,12.3,4,2007
Dexton Fields,Kansas,Big 12,13,63,834,13.2,6,3,20,6.7,0,66,854,12.9,6,2007
Rocky Ross,UCF,CUSA,14,50,658,13.2,2,,,,,50,658,13.2,2,2007
Ross Lane,Northwestern,Big Ten,12,49,649,13.2,7,,,,,49,649,13.2,7,2007
Terence Jeffers,Connecticut,Big East,13,44,582,13.2,5,2,9,4.5,0,46,591,12.8,5,2007
Desmond Gee,Middle Tennessee State,Sun Belt,11,29,382,13.2,4,39,162,4.2,0,68,544,8.0,4,2007
Travis Beckum,Wisconsin,Big Ten,13,75,982,13.1,6,4,6,1.5,0,79,988,12.5,6,2007
Jason Harmon,Florida Atlantic,Sun Belt,13,63,825,13.1,5,,,,,63,825,13.1,5,2007
Brandon Lafell,LSU,SEC,14,50,656,13.1,4,1,18,18.0,1,51,674,13.2,5,2007
Edward Britton,Texas Tech,Big 12,13,48,631,13.1,4,9,52,5.8,0,57,683,12.0,4,2007
David Gettis,Baylor,Big 12,12,31,407,13.1,0,,,,,31,407,13.1,0,2007
Dustin Keller,Purdue,Big Ten,13,68,881,13.0,7,0,0,,1,68,881,13.0,8,2007
Ryan Grice-Mullen,Hawaii,WAC,13,106,1372,12.9,13,2,2,1.0,0,108,1374,12.7,13,2007
Hakeem Nicks,North Carolina,ACC,12,74,958,12.9,5,1,-1,-1.0,0,75,957,12.8,5,2007
Derek Dubois,New Mexico State,WAC,9,55,708,12.9,3,,,,,55,708,12.9,3,2007
Ervin Dickerson,TCU,MWC,13,40,514,12.9,4,12,44,3.7,0,52,558,10.7,4,2007
James Cleveland,Iowa,Big Ten,12,36,464,12.9,0,2,-11,-5.5,0,38,453,11.9,0,2007
Terrence Nunn,Nebraska,Big 12,12,35,452,12.9,1,3,-10,-3.3,0,38,442,11.6,1,2007
Connor Barwin,Cincinnati,Big East,12,31,399,12.9,2,,,,,31,399,12.9,2,2007
Marques Parks,Bowling Green State,MAC,13,28,360,12.9,5,,,,,28,360,12.9,5,2007
Dominique Johnson,UCLA,Pac-10,13,25,322,12.9,4,,,,,25,322,12.9,4,2007
Jason Rivers,Hawaii,WAC,12,92,1174,12.8,13,,,,,92,1174,12.8,13,2007
Dominick Goodman,Cincinnati,Big East,13,68,869,12.8,8,3,7,2.3,0,71,876,12.3,8,2007
Preston Parker,Florida State,ACC,13,62,791,12.8,3,52,270,5.2,2,114,1061,9.3,5,2007
Jermichael Finley,Texas,Big 12,13,45,575,12.8,2,0,0,,1,45,575,12.8,3,2007
Sam Shields,Miami (FL),ACC,10,27,346,12.8,3,,,,,27,346,12.8,3,2007
Jeremy Childs,Boise State,WAC,12,82,1045,12.7,9,,,,,82,1045,12.7,9,2007
James Casey,Rice,CUSA,12,46,585,12.7,4,45,121,2.7,5,91,706,7.8,9,2007
Derrell Johnson-Koulianos,Iowa,Big Ten,12,38,482,12.7,2,2,19,9.5,0,40,501,12.5,2,2007
John Tereshinski,Wake Forest,ACC,13,28,355,12.7,2,,,,,28,355,12.7,2,2007
Bryan Anderson,Central Michigan,MAC,14,90,1132,12.6,10,,,,,90,1132,12.6,10,2007
Kenny McKinley,South Carolina,SEC,12,77,968,12.6,9,5,15,3.0,0,82,983,12.0,9,2007
Mark Bradford,Stanford,Pac-10,12,51,642,12.6,3,,,,,51,642,12.6,3,2007
Marcus Stone,North Carolina State,ACC,12,36,452,12.6,1,,,,,36,452,12.6,1,2007
Dusty Sprague,Colorado,Big 12,13,29,366,12.6,3,12,82,6.8,1,41,448,10.9,4,2007
Donald Massey,TCU,MWC,12,29,364,12.6,0,10,45,4.5,0,39,409,10.5,0,2007
Mike Thomas,Arizona,Pac-10,12,83,1038,12.5,11,10,173,17.3,1,93,1211,13.0,12,2007
Arrelious Benn,Illinois,Big Ten,13,54,676,12.5,2,32,158,4.9,0,86,834,9.7,2,2007
Eddie Williams,Idaho,WAC,12,29,363,12.5,3,9,81,9.0,3,38,444,11.7,6,2007
Walter Bryant,TCU,MWC,12,27,337,12.5,1,,,,,27,337,12.5,1,2007
Ian Johnson,Boise State,WAC,11,25,312,12.5,1,207,1041,5.0,16,232,1353,5.8,17,2007
Marcus Smith,New Mexico,MWC,13,91,1125,12.4,4,10,31,3.1,1,101,1156,11.4,5,2007
Cody Slate,Marshall,CUSA,12,66,818,12.4,5,2,5,2.5,0,68,823,12.1,5,2007
Gary Barnidge,Louisville,Big East,12,53,655,12.4,7,,,,,53,655,12.4,7,2007
George Smith,Vanderbilt,SEC,12,32,397,12.4,3,,,,,32,397,12.4,3,2007
Robby Parris,Notre Dame,Ind,12,29,361,12.4,1,,,,,29,361,12.4,1,2007
Kyle Williams,Arizona State,Pac-10,13,29,360,12.4,6,6,15,2.5,0,35,375,10.7,6,2007
Aaron Straiten,UNLV,MWC,8,23,285,12.4,0,,,,,23,285,12.4,0,2007
Aaron Kelly,Clemson,ACC,13,88,1081,12.3,11,,,,,88,1081,12.3,11,2007
Bear Pascoe,Fresno State,WAC,13,45,553,12.3,4,,,,,45,553,12.3,4,2007
Brandon Thompkins,Arkansas State,Sun Belt,12,41,503,12.3,1,6,-4,-0.7,1,47,499,10.6,2,2007
Evan Moore,Stanford,Pac-10,12,39,481,12.3,1,,,,,39,481,12.3,1,2007
Jason Chery,Louisiana,Sun Belt,12,36,442,12.3,2,21,209,10.0,2,57,651,11.4,4,2007
Chris Johnson,Southern Mississippi,CUSA,8,34,418,12.3,3,5,55,11.0,2,39,473,12.1,5,2007
Chris Johnson,Southern Mississippi,CUSA,8,34,418,12.3,3,5,55,11.0,2,39,473,12.1,5,2007
Hoost Marsh,Wyoming,MWC,12,30,370,12.3,2,11,108,9.8,1,41,478,11.7,3,2007
Naaman Roosevelt,Buffalo,MAC,12,63,766,12.2,4,6,67,11.2,0,69,833,12.1,4,2007
Nick Moore,Toledo,MAC,10,60,731,12.2,8,,,,,60,731,12.2,8,2007
Jeron Harvey,Houston,CUSA,13,55,673,12.2,3,2,6,3.0,0,57,679,11.9,3,2007
Ernest Jackson,Buffalo,MAC,12,53,645,12.2,6,1,-3,-3.0,0,54,642,11.9,6,2007
Kevin Challenger,Boston College,ACC,14,45,551,12.2,5,1,2,2.0,0,46,553,12.0,5,2007
Jake Gaebler,Western Kentucky,Ind,12,35,426,12.2,3,,,,,35,426,12.2,3,2007
Krys Buerck,Baylor,Big 12,10,23,280,12.2,2,2,6,3.0,0,25,286,11.4,2,2007
Lavelle Hawkins,California,Pac-10,13,72,872,12.1,6,7,60,8.6,0,79,932,11.8,6,2007
Jordan Norwood,Penn State,Big Ten,13,40,484,12.1,5,4,23,5.8,0,44,507,11.5,5,2007
Kenneth Zacharie,Louisiana-Monroe,Sun Belt,12,36,437,12.1,6,,,,,36,437,12.1,6,2007
Dexter McCluster,Ole Miss,SEC,8,27,326,12.1,2,6,63,10.5,0,33,389,11.8,2,2007
Emmanuel Sanders,SMU,CUSA,12,74,889,12.0,9,6,28,4.7,0,80,917,11.5,9,2007
Martellus Bennett,Texas A&M,Big 12,12,49,587,12.0,4,,,,,49,587,12.0,4,2007
Josh Morgan,Virginia Tech,ACC,14,46,552,12.0,5,4,11,2.8,0,50,563,11.3,5,2007
Taurus Johnson,South Florida,Big East,11,34,407,12.0,4,7,12,1.7,0,41,419,10.2,4,2007
Philip Beck,Louisiana Tech,WAC,12,30,359,12.0,1,1,7,7.0,0,31,366,11.8,1,2007
Maurice Shaw,Idaho,WAC,11,23,276,12.0,2,,,,,23,276,12.0,2,2007
Casey Fitzgerald,North Texas,Sun Belt,12,111,1322,11.9,12,,,,,111,1322,11.9,12,2007
Ryan Wolfe,UNLV,MWC,12,66,784,11.9,2,9,103,11.4,0,75,887,11.8,2,2007
Patrick Turner,USC,Pac-10,11,48,569,11.9,3,,,,,48,569,11.9,3,2007
Marquis Hamilton,Iowa State,Big 12,12,45,534,11.9,1,4,8,2.0,0,49,542,11.1,1,2007
