Player,School,Conf,G,Att_R,Yds_R,Avg_R,TD_R,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Year
Percy Harvin,Florida,SEC,11,83,764,9.2,6,59,858,14.5,4,142,1622,11.4,10,2007
Felix Jones,Arkansas,SEC,13,133,1162,8.7,11,16,176,11.0,0,149,1338,9.0,11,2007
Stafon Johnson,USC,Pac-10,11,98,673,6.9,5,4,15,3.8,0,102,688,6.7,5,2007
Pat White,West Virginia,Big East,13,197,1335,6.8,14,,,,,197,1335,6.8,14,2007
Reggie Arnold,Arkansas State,Sun Belt,12,163,1060,6.5,9,4,52,13.0,1,167,1112,6.7,10,2007
Kendall Hunter,Oklahoma State,Big 12,12,107,696,6.5,4,10,137,13.7,1,117,833,7.1,5,2007
Jeremy Avery,Boise State,WAC,12,103,672,6.5,8,14,153,10.9,2,117,825,7.1,10,2007
Rashard Mendenhall,Illinois,Big Ten,13,262,1681,6.4,17,34,318,9.4,2,296,1999,6.8,19,2007
Chad Hall,Air Force,MWC,13,230,1478,6.4,15,50,524,10.5,1,280,2002,7.2,16,2007
James Johnson,Kansas State,Big 12,12,174,1106,6.4,12,34,220,6.5,0,208,1326,6.4,12,2007
Jim Ollis,Air Force,MWC,11,106,682,6.4,6,,,,,106,682,6.4,6,2007
Dajuane Collins,Toledo,MAC,12,99,636,6.4,7,11,69,6.3,0,110,705,6.4,7,2007
Jamaal Charles,Texas,Big 12,13,258,1619,6.3,18,17,199,11.7,0,275,1818,6.6,18,2007
Clifton Smith,Fresno State,WAC,13,100,625,6.3,5,33,352,10.7,0,133,977,7.3,5,2007
Evan Royster,Penn State,Big Ten,11,82,513,6.3,5,3,18,6.0,0,85,531,6.2,5,2007
Jonathan Stewart,Oregon,Pac-10,13,280,1722,6.2,11,22,145,6.6,2,302,1867,6.2,13,2007
Anthony Alridge,Houston,CUSA,13,259,1597,6.2,14,42,428,10.2,5,301,2025,6.7,19,2007
Michael Desormeaux,Louisiana,Sun Belt,11,188,1141,6.1,7,,,,,188,1141,6.1,7,2007
Zac Robinson,Oklahoma State,Big 12,13,140,847,6.1,9,,,,,140,847,6.1,9,2007
Eugene Jarvis,Kent State,MAC,12,279,1669,6.0,10,23,306,13.3,3,302,1975,6.5,13,2007
Chris Johnson,East Carolina,CUSA,13,236,1423,6.0,17,37,528,14.3,6,273,1951,7.1,23,2007
Dan Lefevour,Central Michigan,MAC,14,188,1122,6.0,19,1,32,32.0,1,189,1154,6.1,20,2007
Ryan Mathews,Fresno State,WAC,11,145,866,6.0,14,,,,,145,866,6.0,14,2007
Demarco Murray,Oklahoma,Big 12,11,127,764,6.0,13,14,60,4.3,0,141,824,5.8,13,2007
Daniel Porter,Louisiana Tech,WAC,12,99,592,6.0,6,11,58,5.3,0,110,650,5.9,6,2007
Matt Forte,Tulane,CUSA,12,361,2127,5.9,23,32,282,8.8,0,393,2409,6.1,23,2007
Chris Wells,Ohio State,Big Ten,13,274,1609,5.9,15,5,21,4.2,0,279,1630,5.8,15,2007
Javon Ringer,Michigan State,Big Ten,13,245,1447,5.9,6,35,295,8.4,0,280,1742,6.2,6,2007
Brandon McAnderson,Kansas,Big 12,13,190,1125,5.9,16,21,213,10.1,0,211,1338,6.3,16,2007
Kenny Cattouse,Troy,Sun Belt,12,133,791,5.9,7,37,235,6.4,1,170,1026,6.0,8,2007
Jamario Thomas,North Texas,Sun Belt,11,112,666,5.9,8,16,37,2.3,0,128,703,5.5,8,2007
Allen Patrick,Oklahoma,Big 12,13,173,1009,5.8,8,10,56,5.6,1,183,1065,5.8,9,2007
Eric Kettani,Navy,Ind,13,152,880,5.8,10,7,36,5.1,0,159,916,5.8,10,2007
Justin Hoskins,Central Michigan,MAC,14,115,664,5.8,10,22,171,7.8,2,137,835,6.1,12,2007
Deon Wallace,Louisiana,Sun Belt,11,75,433,5.8,3,10,148,14.8,2,85,581,6.8,5,2007
Kevin Smith,UCF,CUSA,14,450,2567,5.7,29,24,242,10.1,1,474,2809,5.9,30,2007
Dantrell Savage,Oklahoma State,Big 12,11,223,1272,5.7,9,27,259,9.6,2,250,1531,6.1,11,2007
Tyrell Fenroy,Louisiana,Sun Belt,11,180,1021,5.7,7,15,113,7.5,0,195,1134,5.8,7,2007
Jake Locker,Washington,Pac-10,12,172,986,5.7,13,1,15,15.0,0,173,1001,5.8,13,2007
Joe McKnight,USC,Pac-10,13,94,540,5.7,3,23,203,8.8,1,117,743,6.4,4,2007
Darren McFadden,Arkansas,SEC,13,325,1830,5.6,16,21,164,7.8,1,346,1994,5.8,17,2007
Louis Rankin,Washington,Pac-10,13,233,1294,5.6,6,20,126,6.3,2,253,1420,5.6,8,2007
Tarrion Adams,Tulsa,CUSA,14,219,1225,5.6,8,30,301,10.0,3,249,1526,6.1,11,2007
Tony Temple,Missouri,Big 12,12,186,1039,5.6,12,7,68,9.7,1,193,1107,5.7,13,2007
Jake Sharp,Kansas,Big 12,13,147,821,5.6,7,21,163,7.8,2,168,984,5.9,9,2007
Kahlil Bell,UCLA,Pac-10,8,142,795,5.6,5,13,93,7.2,0,155,888,5.7,5,2007
Colin Kaepernick,Nevada,WAC,11,105,593,5.6,6,,,,,105,593,5.6,6,2007
Dennis Dixon,Oregon,Pac-10,10,105,583,5.6,9,,,,,105,583,5.6,9,2007
Kestahn Moore,Florida,SEC,13,104,580,5.6,6,13,81,6.2,1,117,661,5.6,7,2007
Jalen Parmele,Toledo,MAC,12,276,1511,5.5,14,17,157,9.2,1,293,1668,5.7,15,2007
Rodney Kinlaw,Penn State,Big Ten,13,243,1329,5.5,10,21,128,6.1,0,264,1457,5.5,10,2007
Tyrell Hayden,Western Kentucky,Ind,12,205,1134,5.5,10,5,22,4.4,0,210,1156,5.5,10,2007
Graig Cooper,Miami (FL),ACC,11,125,682,5.5,4,13,129,9.9,1,138,811,5.9,5,2007
Derrick Locke,Kentucky,SEC,12,94,521,5.5,5,7,86,12.3,0,101,607,6.0,5,2007
Damion Fletcher,Southern Mississippi,CUSA,13,295,1586,5.4,15,29,227,7.8,0,324,1813,5.6,15,2007
Knowshon Moreno,Georgia,SEC,13,248,1334,5.4,14,20,253,12.7,0,268,1587,5.9,14,2007
Ray Rice,Rutgers,Big East,13,380,2012,5.3,24,25,239,9.6,1,405,2251,5.6,25,2007
Luke Lippincott,Nevada,WAC,13,267,1420,5.3,15,26,295,11.3,3,293,1715,5.9,18,2007
Tashard Choice,Georgia Tech,ACC,12,261,1379,5.3,10,14,107,7.6,0,275,1486,5.4,10,2007
Hugh Charles,Colorado,Big 12,12,199,1058,5.3,8,24,233,9.7,1,223,1291,5.8,9,2007
Rafael Little,Kentucky,SEC,10,190,1013,5.3,3,42,347,8.3,1,232,1360,5.9,4,2007
Gartrell Johnson III,Colorado State,MWC,12,181,957,5.3,6,12,103,8.6,2,193,1060,5.5,8,2007
Keegan Herring,Arizona State,Pac-10,13,154,815,5.3,5,10,88,8.8,0,164,903,5.5,5,2007
Thomas Brown,Georgia,SEC,10,148,779,5.3,10,10,84,8.4,2,158,863,5.5,12,2007
C.J. Spiller,Clemson,ACC,13,145,768,5.3,3,34,271,8.0,2,179,1039,5.8,5,2007
Amir Pinnix,Minnesota,Big Ten,10,106,563,5.3,5,11,66,6.0,1,117,629,5.4,6,2007
Mario Fannin,Auburn,SEC,13,84,448,5.3,5,18,176,9.8,2,102,624,6.1,7,2007
Jonathan Dwyer,Georgia Tech,ACC,13,82,436,5.3,9,2,17,8.5,0,84,453,5.4,9,2007
P.J. Hill,Wisconsin,Big Ten,11,233,1212,5.2,14,14,89,6.4,1,247,1301,5.3,15,2007
Joseph Turner,TCU,MWC,10,115,597,5.2,6,5,41,8.2,0,120,638,5.3,6,2007
Cedric Peerman,Virginia,ACC,6,113,585,5.2,5,12,99,8.3,0,125,684,5.5,5,2007
Jaycen Taylor,Purdue,Big Ten,9,107,560,5.2,4,11,65,5.9,0,118,625,5.3,4,2007
Brock Bolen,Louisville,Big East,10,88,456,5.2,7,14,121,8.6,1,102,577,5.7,8,2007
Greg Moore,Cincinnati,Big East,13,87,450,5.2,2,13,183,14.1,2,100,633,6.3,4,2007
Shannon Woods,Texas Tech,Big 12,9,84,439,5.2,8,34,138,4.1,2,118,577,4.9,10,2007
Justin Forsett,California,Pac-10,13,305,1546,5.1,15,22,202,9.2,0,327,1748,5.3,15,2007
Michael Hart,Michigan,Big Ten,10,265,1361,5.1,14,8,50,6.3,0,273,1411,5.2,14,2007
Marcus Thomas,UTEP,CUSA,11,227,1166,5.1,16,20,268,13.4,2,247,1434,5.8,18,2007
Kory Sheets,Purdue,Big Ten,13,168,859,5.1,11,30,216,7.2,2,198,1075,5.4,13,2007
Darius Marshall,Marshall,CUSA,12,123,631,5.1,3,14,119,8.5,0,137,750,5.5,3,2007
