Year,Player,Pos,School,Height,Weight,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick
2010,Seyi Ajirotutu,WR,Fresno State,6-3,204.0,4.6,36.0,14.0,115.0,7.22,4.39,False,,
2010,Rahim Alem,DE,LSU,6-3,251.0,4.75,30.5,,106.0,7.54,4.8,False,,
2010,Charles Alexander,DT,LSU,6-4,300.0,5.4,,,,,,False,,
2010,Danario Alexander,WR,Missouri,6-5,215.0,4.62,,,,,,False,,
2010,Nate Allen,S,South Florida,6-0,207.0,4.5,,16.0,,,,True,2,37
2010,Tyson Alualu,DE,California,6-2,295.0,4.87,35.5,21.0,116.0,7.15,4.43,True,1,10
2010,Jonathon Amaya,S,Nevada,6-1,203.0,4.43,28.0,8.0,118.0,,,False,,
2010,Pat Angerer,ILB,Iowa,6-0,235.0,4.71,35.0,26.0,110.0,7.04,4.29,True,2,63
2010,Lucien Antoine,S,Oklahoma State,6-0,215.0,4.62,32.0,28.0,120.0,7.38,4.47,False,,
2010,Javier Arenas,CB,Alabama,5-9,197.0,4.6,,,112.0,,,True,2,50
2010,Alric Arnett,WR,West Virginia,6-2,188.0,4.52,40.0,,122.0,7.03,4.43,False,,
2010,Jon Asamoah,OG,Illinois,6-4,305.0,5.07,,,,,,True,3,68
2010,Larry Asante,S,Nebraska,6-0,212.0,4.62,37.5,14.0,118.0,7.0,4.17,True,5,160
2010,Geno Atkins,DT,Georgia,6-1,293.0,4.75,33.0,34.0,117.0,7.33,4.43,True,4,120
2010,Brandon Banks,WR,Kansas State,5-7,149.0,4.37,31.0,,113.0,6.88,4.29,False,,
2010,Kevin Basped,DE,Nevada,6-4,258.0,4.75,29.0,26.0,104.0,7.54,4.88,False,,
2010,Zane Beadles,OG,Utah,6-4,310.0,5.28,,27.0,,,,True,2,45
2010,Jason Beauchamp,ILB,UNLV,6-3,244.0,4.89,39.5,21.0,120.0,7.1,,False,,
2010,Chris Bell,WR,Norfolk State,6-2,211.0,4.5,35.0,15.0,117.0,6.76,4.35,False,,
2010,Joique Bell,RB,Wayne State (MI),5-11,220.0,4.68,36.5,,120.0,6.84,4.17,False,,
2010,Arrelious Benn,WR,Illinois,6-1,219.0,4.57,37.0,20.0,118.0,,,True,2,39
2010,Eric Berry,S,Tennessee,6-0,211.0,4.4,43.0,19.0,130.0,6.8,4.23,True,1,5
2010,Jahvid Best,RB,California,5-10,199.0,4.34,32.5,18.0,113.0,6.75,4.17,True,1,30
2010,Ciron Black,OG,LSU,6-4,327.0,5.53,25.5,23.0,91.0,8.52,5.13,False,,
2010,LeGarrette Blount,RB,Oregon,6-0,241.0,4.7,35.0,18.0,117.0,6.85,4.49,False,,
2010,Nyan Boateng,WR,California,6-1,204.0,4.66,36.0,14.0,112.0,7.35,4.69,False,,
2010,Kyle Bosworth,OLB,UCLA,6-1,236.0,4.69,32.5,25.0,117.0,6.67,4.11,False,,
2010,Brent Bowden,P,Virginia Tech,6-2,202.0,4.8,,,,,,True,6,172
2010,Navorro Bowman,OLB,Penn State,6-0,242.0,4.7,29.5,26.0,115.0,6.91,4.59,True,3,91
2010,Sam Bradford,QB,Oklahoma,6-4,236.0,4.79,,,,,,True,1,1
2010,Dezmon Briscoe,WR,Kansas,6-2,207.0,4.66,33.0,9.0,115.0,7.1,4.57,True,6,191
2010,Dorian Brooks,OG,James Madison,6-2,306.0,5.15,23.0,26.0,100.0,7.73,4.66,False,,
2010,Chris Brown,RB,Oklahoma,5-10,210.0,4.55,36.0,17.0,115.0,,,False,,
2010,Antonio Brown,WR,Central Michigan,5-10,186.0,4.56,33.5,13.0,105.0,6.98,4.18,True,6,195
2010,Charles Brown,OT,USC,6-5,303.0,5.21,31.5,21.0,,,,True,2,64
2010,Cornelius Brown,CB,Texas-El Paso,5-11,198.0,4.59,31.5,11.0,118.0,6.87,4.24,False,,
2010,Jarrett Brown,QB,West Virginia,6-3,224.0,4.5,34.5,,114.0,7.24,4.39,False,,
2010,Levi Brown,QB,Troy,6-3,229.0,4.93,31.5,20.0,106.0,7.07,4.43,True,7,209
2010,Dez Bryant,WR,Oklahoma State,6-2,225.0,4.52,,,,,,True,1,24
2010,Bryan Bulaga,OT,Iowa,6-5,314.0,5.2,27.5,26.0,98.0,7.7,4.75,True,1,23
2010,Morgan Burnett,S,Georgia Tech,6-1,209.0,4.51,,16.0,,,,True,3,71
2010,Crezdon Butler,CB,Clemson,6-0,191.0,4.43,39.5,17.0,121.0,7.08,4.23,True,5,164
2010,Donald Butler,ILB,Washington,6-1,245.0,4.61,,35.0,,,,True,3,79
2010,Jeff Byers,C,USC,6-3,301.0,5.04,,33.0,,,,False,,
2010,Nate Byham,TE,Pittsburgh,6-4,268.0,4.97,29.0,,109.0,,,True,6,182
2010,Kyle Calloway,OT,Iowa,6-6,323.0,5.46,23.5,22.0,92.0,7.96,4.86,True,7,216
2010,Lee Campbell,ILB,Minnesota,6-2,247.0,4.88,34.0,17.0,108.0,7.27,4.4,False,,
2010,Bruce Campbell,OT,Maryland,6-6,314.0,4.75,32.0,34.0,101.0,7.58,4.69,True,4,106
2010,Sean Canfield,QB,Oregon State,6-4,223.0,4.93,29.5,,100.0,7.26,4.39,True,7,239
2010,Selvish Capers,OT,West Virginia,6-5,308.0,5.11,30.5,19.0,106.0,7.68,4.68,True,7,231
2010,Alex Carrington,DE,Arkansas State,6-5,285.0,4.92,,26.0,,,,True,3,72
2010,Nolan Carroll,CB,Maryland,5-11,204.0,4.42,,,,,,True,5,145
2010,Brandon Carter,OG,Texas Tech,6-6,329.0,5.34,24.5,22.0,102.0,7.82,4.94,False,,
2010,Chris Carter,WR,California-Davis,5-11,191.0,4.49,,12.0,,,,True,5,162
2010,Chris Chancellor,CB,Clemson,5-9,177.0,4.49,34.0,14.0,115.0,6.85,4.07,False,,
2010,Kam Chancellor,S,Virginia Tech,6-3,231.0,4.62,32.0,22.0,116.0,7.36,4.41,True,5,133
2010,Jamar Chaney,ILB,Mississippi State,6-1,242.0,4.54,39.0,26.0,124.0,6.9,4.29,True,7,220
2010,Barry Church,S,Toledo,6-1,222.0,4.69,36.0,19.0,121.0,6.65,4.17,False,,
2010,Daryll Clark,QB,Penn State,6-2,235.0,4.72,,21.0,,,,False,,
2010,Jimmy Clausen,QB,Notre Dame,6-3,222.0,4.76,,,,,,True,2,48
2010,Keenan Clayton,OLB,Oklahoma,6-1,229.0,4.59,41.5,27.0,124.0,,,True,4,121
2010,Terrence Cody,DT,Alabama,6-4,354.0,5.71,20.5,,90.0,8.19,5.03,True,2,57
2010,Justin Cole,OLB,San Jose State,6-3,242.0,4.76,34.5,22.0,117.0,7.13,4.42,False,,
2010,Harry Coleman,S,LSU,6-1,211.0,4.56,33.0,13.0,115.0,7.24,4.42,False,,
2010,Antonio Coleman,OLB,Auburn,6-1,255.0,4.76,,18.0,113.0,,,False,,
2010,Kurt Coleman,S,Ohio State,5-10,192.0,4.55,,19.0,,,,True,7,244
2010,John Conner,FB,Kentucky,5-11,246.0,4.64,35.0,24.0,111.0,7.15,4.32,True,5,139
2010,Kavell Conner,OLB,Clemson,6-0,242.0,4.59,33.5,24.0,110.0,7.36,4.6,True,7,240
2010,Chris Cook,CB,Virginia,6-2,212.0,4.45,38.0,7.0,132.0,6.88,4.23,True,2,34
2010,Erik Cook,C,New Mexico,6-6,318.0,5.55,25.0,19.0,94.0,8.24,4.99,True,7,229
2010,Riley Cooper,WR,Florida,6-3,222.0,4.53,33.0,,114.0,,,True,5,159
2010,Perrish Cox,CB,Oklahoma State,5-11,195.0,4.58,32.5,12.0,113.0,,,True,5,137
2010,Jermaine Cunningham,DE,Florida,6-3,266.0,4.89,,,,,,True,2,53
2010,Rennie Curran,OLB,Georgia,5-11,235.0,4.75,34.5,25.0,,,,True,3,97
2010,Anthony Davis,OT,Rutgers,6-5,323.0,5.36,33.0,21.0,99.0,8.17,4.97,True,1,11
2010,Dexter Davis,OLB,Arizona State,6-1,244.0,4.62,35.0,25.0,109.0,7.08,4.3,True,7,236
2010,Hall Davis,DE,Louisiana-Lafayette,6-4,271.0,4.84,,28.0,,,,True,5,149
2010,Brandon Deaderick,DT,Alabama,6-4,314.0,5.08,,,,,,True,7,247
2010,Eric Decker,WR,Minnesota,6-3,217.0,4.54,,15.0,,,,True,3,87
2010,Chris DeGeare,OG,Wake Forest,6-4,325.0,5.12,32.5,27.0,103.0,7.84,4.9,True,5,161
2010,Dorin Dickerson,TE,Pittsburgh,6-1,226.0,4.4,43.5,24.0,125.0,6.96,4.3,True,7,227
2010,Ed Dickson,TE,Oregon,6-4,249.0,4.59,34.0,23.0,115.0,7.32,4.59,True,3,70
2010,Phillip Dillard,ILB,Nebraska,6-0,245.0,4.65,31.5,,106.0,7.16,4.43,True,4,115
2010,Andre Dixon,RB,Connecticut,6-1,205.0,4.56,40.0,,117.0,6.99,4.19,False,,
2010,Anthony Dixon,RB,Mississippi State,6-1,233.0,4.67,33.0,15.0,121.0,7.09,4.49,True,6,173
2010,Matt Dodge,P,East Carolina,6-1,224.0,,,,,,,True,7,221
2010,Jim Dray,TE,Stanford,6-5,246.0,4.82,,17.0,,,,True,7,233
2010,Vladimir Ducasse,OT,Massachusetts,6-4,332.0,5.21,26.0,29.0,91.0,8.25,4.97,True,2,61
2010,Carlos Dunlap,DE,Florida,6-6,277.0,4.68,31.5,21.0,111.0,7.21,4.61,True,2,54
2010,Jonathan Dwyer,RB,Georgia Tech,5-11,229.0,4.64,33.0,15.0,107.0,7.56,4.67,True,6,188
2010,Marcus Easley,WR,Connecticut,6-3,210.0,4.39,34.0,16.0,123.0,6.94,4.6,True,4,107
2010,A.J. Edds,OLB,Iowa,6-4,246.0,4.62,33.0,16.0,117.0,7.19,4.28,True,4,119
2010,Armanti Edwards,WR,Appalachian State,5-11,187.0,4.41,,,,,,True,3,89
2010,Brody Eldridge,TE,Oklahoma,6-5,261.0,4.72,31.5,,,,,True,5,162
2010,Dedrick Epps,TE,Miami (FL),6-3,250.0,4.7,,19.0,,,,True,7,235
2010,Jacoby Ford,WR,Clemson,5-9,186.0,4.28,33.5,15.0,115.0,7.0,4.44,True,4,108
2010,Jason Fox,OT,Miami (FL),6-7,303.0,5.45,,23.0,,,,True,4,128
2010,Dominique Franks,CB,Oklahoma,5-11,194.0,4.46,33.5,10.0,117.0,7.32,4.33,True,5,135
2010,Junior Galette,OLB,Temple,6-2,257.0,4.77,33.5,25.0,113.0,7.04,4.16,False,,
2010,Clifton Geathers,DE,South Carolina,6-7,299.0,4.98,36.0,26.0,112.0,7.69,,True,6,186
2010,Riar Geer,FB,Colorado,6-3,256.0,5.0,33.0,13.0,106.0,7.13,4.29,False,,
2010,Toby Gerhart,RB,Stanford,6-0,231.0,4.5,38.0,22.0,118.0,6.94,4.25,True,2,51
2010,David Gettis,WR,Baylor,6-3,217.0,4.43,34.5,15.0,124.0,6.94,4.41,True,6,198
2010,Brandon Ghee,CB,Wake Forest,6-0,192.0,4.37,37.0,15.0,127.0,6.75,4.07,True,3,96
