Player,Tm,Age,Tgt,Rec_P,Ctch%,Yds_p,TD_P,1D,Succ%,Y/Tgt,R/G,Y/G,G_P,GS,Att,Yds_R_P,TD_R_P,1D_P,Succ%_R,Y/A,Y/G_R,Fmb,G,Att_R,Yds_R,Avg_R,TD_R,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Conf,School,Height,Weight,40yd,Vertical,Broad Jump,Drafted,OvrPick
Jahvid Best,DET,21,80.0,58,72.5%,487,2,15,37.5,6.1,3.6,30.4,16,9,171,555,4,25,35.7,3.2,34.7,1,10.5,167.5,1223.5,7.1,13.5,24.5,229.5,9.399999999999999,2.5,192.0,1453.0,7.45,16.0,Pac-10,California,5-10,199.0,4.34,32.5,113.0,True,30.0
Keiland Williams,WAS,24,58.0,39,67.2%,309,2,11,34.5,5.3,2.6,20.6,15,3,65,261,3,14,52.3,4.0,17.4,1,13.0,83.0,417.0,5.0,2.0,11.0,124.0,11.3,1.0,94.0,541.0,5.8,3.0,SEC,LSU,5-11,233.0,4.52,34.5,34.5,False,225.0
C.J. Spiller,BUF,23,30.0,24,80.0%,157,1,7,43.3,5.2,1.7,11.2,14,1,74,283,0,10,41.9,3.8,20.2,5,13.0,159.0,869.6666666666666,5.433333333333334,7.333333333333333,34.666666666666664,403.3333333333333,11.6,3.0,193.66666666666666,1273.0,6.566666666666666,10.333333333333334,ACC,Clemson,5-11,196.0,4.37,34.5,34.5,True,9.0
Ryan Mathews,SDG,23,26.0,22,84.6%,145,0,7,50.0,5.6,1.8,12.1,12,9,158,678,7,25,44.3,4.3,56.5,5,10.333333333333334,178.0,1093.3333333333333,6.0,13.0,9.5,134.0,14.7,1.0,184.33333333333334,1182.6666666666667,6.3,13.666666666666666,WAC,Fresno State,6-0,218.0,4.37,36.0,121.0,True,12.0
Toby Gerhart,MIN,23,29.0,21,72.4%,167,0,4,41.4,5.8,1.4,11.1,15,1,81,322,1,14,42.0,4.0,21.5,3,12.5,276.5,1503.5,5.45,21.5,12.0,135.5,11.55,0.0,288.5,1639.0,5.65,21.5,Pac-10,Stanford,6-0,231.0,4.5,38.0,118.0,True,83.0
Javarris James,IND,23,11.0,9,81.8%,63,0,3,45.5,5.7,0.9,6.3,10,0,46,112,6,9,43.5,2.4,11.2,1,12.0,131.0,537.0,4.25,5.0,13.5,92.5,6.8,0.0,144.5,629.5,4.45,5.0,ACC,Miami (FL),6-0,212.0,4.58,36.0,115.0,False,225.0
Anthony Dixon,SFO,23,5.0,5,100.0%,11,0,1,40.0,2.2,0.3,0.7,16,0,70,237,2,11,41.4,3.4,14.8,0,12.0,247.0,1108.6666666666667,4.5,11.0,17.333333333333332,135.66666666666666,8.200000000000001,1.3333333333333333,264.3333333333333,1244.3333333333333,4.7,12.333333333333334,SEC,Mississippi State,6-1,233.0,4.67,33.0,121.0,True,333.0
Joe McKnight,NYJ,22,4.0,3,75.0%,20,0,2,50.0,5.0,0.3,2.2,9,1,39,189,0,7,59.0,4.8,21.0,0,12.0,115.66666666666667,737.6666666666666,6.433333333333334,4.333333333333333,22.0,180.66666666666666,8.200000000000001,0.6666666666666666,137.66666666666666,918.3333333333334,6.766666666666667,5.0,Pac-10,USC,5-11,198.0,4.4,36.5,120.0,True,208.0
James Starks,GNB,24,4.0,2,50.0%,15,0,1,25.0,3.8,0.7,5.0,3,0,29,101,0,5,44.8,3.5,33.7,0,12.0,261.5,1218.0,4.65,14.0,46.5,336.0,7.25,1.5,308.0,1554.0,5.0,15.5,MAC,Buffalo,6-2,218.0,4.5,36.0,119.0,True,353.0
Keith Toston,STL,23,2.0,2,100.0%,29,0,1,100.0,14.5,0.1,1.8,16,0,19,54,0,2,31.6,2.8,3.4,0,13.0,164.5,952.0,6.050000000000001,10.0,16.5,161.5,9.1,0.5,181.0,1113.5,6.35,10.5,Big 12,Oklahoma State,6-0,213.0,4.66,32.0,110.0,False,225.0
