Player,Tm,Age,Pos,G_P,GS,Tgt,Rec_P,Ctch%,Yds_P,TD_P,1D,Succ%,Y/Tgt,R/G,Y/G,Fmb,G,Rec,Yds,Avg,TD,Plays_S,Yds_S,Avg_S,TD_S,Conf,School,Height,Weight,40yd,Vertical,Broad Jump,Drafted,OvrPick
Jermaine Gresham,CIN,22,TE,15,10,83.0,52,62.7%,471,4,26,50.6,5.7,3.5,31.4,2.0,14.0,51.5,734.0,14.2,12.5,52.0,736.5,14.15,12.5,Big 12,Oklahoma,6-5,261.0,4.66,35.0,113.0,True,21.0
Jordan Shipley,CIN,25,WR,15,4,74.0,52,70.3%,600,3,31,52.7,8.1,3.5,40.0,0.0,13.333333333333334,77.33333333333333,987.3333333333334,13.366666666666667,9.666666666666666,80.33333333333333,1004.6666666666666,12.833333333333334,9.666666666666666,Big 12,Texas,5-11,193.0,4.6,36.5,116.0,True,148.0
Tony Moeaki,KAN,23,TE,15,15,73.0,47,64.4%,556,3,31,53.4,7.6,3.1,37.1,0.0,10.0,30.0,387.0,12.9,4.0,30.0,387.0,12.9,4.0,Big Ten,Iowa,6-3,245.0,4.69,34.0,113.0,True,157.0
Dez Bryant,DAL,22,WR,12,2,73.0,45,61.6%,561,6,23,45.2,7.7,3.8,46.8,1.0,12.5,65.0,1051.0,15.75,12.5,66.0,1059.0,15.6,12.5,Big 12,Oklahoma State,6-2,225.0,4.52,35.5,35.5,True,24.0
Aaron Hernandez,NWE,21,TE,14,7,64.0,45,70.3%,563,6,27,54.7,8.8,3.2,40.2,0.0,13.5,51.0,615.5,11.85,5.0,51.5,623.5,11.899999999999999,5.0,SEC,Florida,6-2,245.0,4.64,35.5,35.5,True,209.0
Rob Gronkowski,NWE,21,TE,16,11,59.0,42,71.2%,546,10,30,64.4,9.3,2.6,34.1,1.0,11.0,37.5,598.5,16.55,8.0,37.5,598.5,16.55,8.0,Pac-10,Arizona,6-6,264.0,4.68,35.5,35.5,True,74.0
David Gettis,CAR,23,WR,15,13,67.0,37,55.2%,508,3,24,47.8,7.6,2.5,33.9,0.0,12.0,37.333333333333336,491.0,13.200000000000001,1.0,37.333333333333336,491.0,13.200000000000001,1.0,Big 12,Baylor,6-3,217.0,4.43,34.5,124.0,True,358.0
Blair White,IND,23,WR,13,4,57.0,36,63.2%,355,5,24,52.6,6.2,2.8,27.3,1.0,13.0,56.5,824.5,14.7,5.0,57.0,823.5,14.5,5.0,Big Ten,Michigan State,6-2,209.0,4.49,33.5,115.0,False,225.0
Emmanuel Sanders,PIT,23,WR,13,1,50.0,28,56.0%,376,2,18,54.0,7.5,2.2,28.9,2.0,11.666666666666666,79.66666666666667,1062.0,13.333333333333334,8.333333333333334,82.0,1073.3333333333333,13.133333333333333,8.333333333333334,CUSA,SMU,5-11,186.0,4.4,39.5,126.0,True,146.0
Arrelious Benn,TAM,22,WR,15,9,38.0,25,65.8%,395,2,17,57.9,10.4,1.7,26.3,1.0,12.333333333333334,53.0,740.3333333333334,13.700000000000001,2.3333333333333335,73.66666666666667,834.3333333333334,11.299999999999999,3.3333333333333335,Big Ten,Illinois,6-1,219.0,4.57,37.0,118.0,True,71.0
Jacoby Ford,OAK,23,WR,16,9,54.0,25,46.3%,470,2,19,40.7,8.7,1.6,29.4,3.0,13.5,55.5,744.5,13.4,5.0,73.5,853.5,11.6,6.0,ACC,Clemson,5-9,186.0,4.28,33.5,115.0,True,204.0
Demaryius Thomas,DEN,23,WR,10,2,39.0,22,56.4%,283,2,15,43.6,7.3,2.2,28.3,3.0,13.0,40.0,779.6666666666666,19.033333333333335,5.0,41.333333333333336,790.3333333333334,18.7,5.0,ACC,Georgia Tech,6-3,224.0,4.52,35.5,35.5,True,22.0
Dexter McCluster,KAN,21,WR,11,7,39.0,21,53.8%,209,1,11,41.0,5.4,1.9,19.0,2.0,11.333333333333334,38.333333333333336,490.3333333333333,12.700000000000001,2.0,137.0,1119.3333333333333,9.233333333333334,6.666666666666667,SEC,Mississippi,5-9,172.0,4.53,37.5,118.0,True,68.0
Andrew Quarless,GNB,22,TE,13,3,33.0,21,63.6%,238,1,13,54.5,7.2,1.6,18.3,1.0,13.0,41.0,536.0,13.1,3.0,41.0,536.0,13.1,3.0,Big Ten,Penn State,6-4,254.0,4.68,32.0,112.0,True,282.0
Golden Tate,SEA,22,WR,11,0,39.0,21,53.8%,227,0,8,43.6,5.8,1.9,20.6,1.0,12.5,75.5,1288.0,17.35,12.5,90.5,1399.5,16.0,14.0,Ind,Notre Dame,5-10,199.0,4.42,35.0,120.0,True,92.0
Danario Alexander,STL,24,WR,8,2,37.0,20,54.1%,306,1,12,45.9,8.3,2.5,38.3,0.0,11.5,75.0,1099.0,13.55,8.0,78.5,1119.5,13.05,8.0,Big 12,Missouri,6-5,215.0,4.62,35.5,35.5,False,225.0
Antonio Brown,PIT,22,WR,9,0,19.0,16,84.2%,167,0,11,68.4,8.8,1.8,18.6,1.0,13.666666666666666,101.66666666666667,1066.3333333333333,10.466666666666667,7.333333333333333,125.66666666666667,1243.3333333333333,9.866666666666667,8.666666666666666,MAC,Central Michigan,5-10,186.0,4.56,33.5,105.0,True,355.0
Damian Williams,TEN,22,WR,16,1,28.0,16,57.1%,219,0,10,42.9,7.8,1.0,13.7,0.0,12.5,64.0,939.5,14.7,7.5,67.0,969.0,14.5,7.5,Pac-10,USC,6-1,197.0,4.52,38.0,118.0,True,141.0
Seyi Ajirotutu,SDG,23,WR,10,0,23.0,13,56.5%,262,2,12,56.5,11.4,1.3,26.2,0.0,12.333333333333334,41.666666666666664,654.3333333333334,15.866666666666665,4.0,41.666666666666664,654.3333333333334,15.866666666666665,4.333333333333333,WAC,Fresno State,6-3,204.0,4.6,36.0,115.0,False,225.0
Michael Hoomanawanui,STL,22,TE,8,3,22.0,13,59.1%,146,3,9,40.9,6.6,1.6,18.3,0.0,12.0,25.0,312.0,12.5,2.0,25.0,312.0,12.5,2.0,Big Ten,Illinois,6-4,264.0,4.77,35.5,35.5,True,260.0
Ed Dickson,BAL,23,TE,15,3,23.0,11,47.8%,152,1,5,30.4,6.6,0.7,10.1,0.0,13.0,40.0,504.0,12.700000000000001,4.0,41.666666666666664,513.3333333333334,12.4,4.0,Pac-10,Oregon,6-4,249.0,4.59,34.0,115.0,True,134.0
Stephen Williams,ARI,24,WR,11,3,23.0,9,39.1%,101,0,5,30.4,4.4,0.8,9.2,0.0,12.0,74.33333333333333,1005.0,13.5,6.666666666666667,74.33333333333333,1005.0,13.5,6.666666666666667,MAC,Toledo,6-4,210.0,4.5,36.5,125.0,False,225.0
Riley Cooper,PHI,23,WR,13,2,18.0,7,38.9%,116,1,5,38.9,6.4,0.5,8.9,0.0,14.0,51.0,961.0,18.8,9.0,52.0,975.0,18.8,9.0,SEC,Florida,6-3,222.0,4.53,33.0,114.0,True,287.0
Dezmon Briscoe,TAM,21,WR,2,0,7.0,6,85.7%,93,1,4,57.1,13.3,3.0,46.5,0.0,12.333333333333334,73.0,1080.0,14.233333333333334,10.333333333333334,74.33333333333333,1092.3333333333333,14.166666666666666,10.666666666666666,Big 12,Kansas,6-2,207.0,4.66,33.0,115.0,True,351.0
Eric Decker,DEN,23,WR,14,0,8.0,6,75.0%,106,1,4,62.5,13.3,0.4,7.6,3.0,10.666666666666666,67.0,913.6666666666666,13.866666666666667,7.0,71.66666666666667,950.0,13.566666666666668,7.333333333333333,Big Ten,Minnesota,6-3,217.0,4.54,35.5,35.5,True,151.0
Mardy Gilyard,STL,24,WR,11,2,16.0,6,37.5%,63,0,4,31.3,3.9,0.5,5.7,1.0,13.333333333333334,68.0,1001.0,14.799999999999999,8.333333333333334,70.33333333333333,1009.6666666666666,14.5,8.666666666666666,Big East,Cincinnati,6-0,187.0,4.61,39.0,116.0,True,195.0
Verran Tucker,KAN,22,WR,11,2,19.0,6,31.6%,114,1,5,31.6,6.0,0.5,10.4,0.0,13.0,29.0,453.0,15.6,1.0,29.0,453.0,15.6,1.0,Pac-10,California,6-2,200.0,4.65,35.5,35.5,False,225.0
Preston Parker,TAM,23,WR,9,0,9.0,4,44.4%,42,0,3,44.4,4.7,0.4,4.7,0.0,11.5,51.0,581.5,11.05,2.5,82.0,760.0,9.25,3.5,ACC,Florida State,5-11,199.0,4.59,35.0,117.0,False,225.0
Taylor Price,NWE,23,WR,1,0,4.0,3,75.0%,41,0,3,75.0,10.3,3.0,41.0,0.0,12.666666666666666,46.666666666666664,647.3333333333334,13.9,4.666666666666667,54.0,695.6666666666666,12.799999999999999,4.666666666666667,MAC,Ohio,6-0,204.0,4.4,37.0,114.0,True,154.0
Brandon Banks,WAS,23,WR,13,0,5.0,2,40.0%,10,0,1,20.0,2.0,0.2,0.8,2.0,12.0,61.5,877.0,14.149999999999999,5.0,70.5,995.0,14.05,5.5,Big 12,Kansas State,5-7,149.0,4.37,31.0,113.0,False,225.0
Dennis Pitta,BAL,25,TE,11,0,5.0,1,20.0%,1,0,0,0.0,0.2,0.1,0.1,0.0,13.0,68.0,908.3333333333334,13.4,6.333333333333333,68.0,908.3333333333334,13.4,6.333333333333333,MWC,BYU,6-4,245.0,4.68,34.0,113.0,True,210.0
Kyle Williams,SFO,22,WR,5,0,1.0,1,100.0%,8,0,0,0.0,8.0,0.2,1.6,0.0,11.0,44.75,554.625,12.4,4.25,49.75,586.25,11.8125,4.25,MWC,Arizona State,5-10,188.0,4.4,33.0,118.0,True,366.0
Jeron Mastrud,MIA,23,TE,8,2,1.0,0,0.0%,0,0,0,0.0,0.0,0.0,0.0,0.0,12.0,34.0,375.5,10.95,1.0,34.0,375.5,10.95,1.0,Big 12,Kansas State,6-5,256.0,4.82,35.5,35.5,False,225.0
Carlton Mitchell,CLE,22,WR,5,0,1.0,0,0.0%,0,0,0,0.0,0.0,0.0,0.0,0.0,12.333333333333334,35.0,549.3333333333334,15.566666666666668,3.0,36.666666666666664,557.3333333333334,15.133333333333333,3.0,Big East,South Florida,6-3,215.0,4.46,36.0,122.0,True,337.0
David Reed,BAL,23,WR,13,0,1.0,0,0.0%,0,0,0,0.0,0.0,0.0,0.0,0.0,13.0,53.0,807.5,15.9,5.5,55.5,817.0,15.5,6.0,MWC,Utah,6-0,191.0,4.56,37.0,114.0,True,284.0
